Rank,Player,Team,Bye,POS,Yahoo,CBS,FFC,NFL,Fantrax,DW,AVG
260,C.J. Fiedorowicz,HOU,7,TE28,,230,,207,239,202,219.5
261,Ryan Mathews,RB79,,207,,241,209,222,219.8
262,Los Angeles Chargers,DST,9,DST24,,208,209,225,,238,220.0
263,Donnel Pumphrey,PHI,10,RB80,,,,,220,,220.0
264,Richard Rodgers,GB,8,TE29,,,,221,,,221.0
265,San Francisco 49ers,DST,11,DST25,,,,224,,,224.0
266,Mitch Trubisky,CHI,9,QB27,,,217,235,,,226.0
267,Tennessee Titans,DST,8,DST26,,232,,223,,223,226.0
268,Caleb Sturgis,PHI,10,K19,,229,,206,225,261,230.3
269,Ladarius Green,TE30,,,,,232,,232.0
270,Tajae Sharpe,TEN,8,WR88,,,,,233,,233.0
271,Devin Funchess,CAR,11,WR89,,233,201,297,206,230,233.4
272,Braxton Miller,HOU,7,WR90,,,,,234,,234.0
273,Nick Novak,HOU,7,K20,,234,,217,252,,234.3
274,JuJu Smith-Schuster,PIT,9,WR91,,,,242,228,,235.0
275,Chris Conley,KC,10,WR92,,,,,204,267,235.5
276,Detroit Lions,DST,7,DST27,,,,236,,,236.0
277,Chicago Bears,DST,9,DST28,,,,238,,,238.0
278,Trevor Siemian,DEN,5,QB28,,,,237,244,,240.5
279,Kamar Aiken,IND,11,WR93,,,,,241,,241.0
280,Jake Elliott,CIN,6,K21,,,,,242,,242.0
281,Cleveland Browns,DST,9,DST29,,,,243,,,243.0
282,Elijah Hood,OAK,10,RB81,,,,,,243,243.0
283,Zane Gonzalez,CLE,9,K22,,,,,243,,243.0
284,Tim Hightower,SF,11,RB82,,238,,254,257,224,243.3
285,Phil Dawson,ARI,8,K23,,241,,234,256,,243.7
286,Terrance Williams,DAL,6,WR94,,245,,228,260,,244.3
287,Paul Richardson,SEA,6,WR95,,,,255,235,245,245.0
288,Kyle Juszczyk,SF,11,RB83,,,,,227,264,245.5
289,Roberto Aguayo,CHI,9,K24,,,,239,253,,246.0
290,New Orleans Saints,DST,5,DST30,,,,246,,,246.0
291,Daniel Lasco,NO,5,RB84,,,,,246,,246.0
292,Aldrick Rosas,NYG,8,K25,,,,,247,,247.0
293,Jerick McKinnon,MIN,9,RB85,,,,,264,231,247.5
294,Zach Miller,CHI,9,TE31,,247,,231,263,251,248.0
295,Erik Swoope,IND,11,TE32,,,,,248,,248.0
296,Kerwynn Williams,ARI,8,RB86,,250,,,,,250.0
297,Ryan Switzer,DAL,6,WR96,,,,251,,,251.0
298,Jeremy Langford,CHI,9,RB87,,,,288,213,258,253.0
299,Josh Lambo,LAC,9,K26,,244,,269,249,,254.0
300,New York Jets,DST,11,DST31,,,,280,,229,254.5
301,Victor Cruz,CHI,9,WR97,,,,229,280,,254.5
302,Wayne Gallman,NYG,8,RB88,,,,,,255,255.0
303,Torrey Smith,PHI,10,WR98,,,,272,250,247,256.3
304,Teddy Bridgewater,MIN,9,QB29,,,,257,,,257.0
305,Robbie Gould,SF,11,K27,,,,258,,,258.0
306,Matt Barkley,SF,11,QB30,,,,,258,,258.0
307,Damien Williams,MIA,11,RB89,,246,,,278,252,258.7
308,Javorius Allen,BAL,10,RB90,,,,,,259,259.0
309,Jermaine Kearse,SEA,6,WR99,,,,252,267,,259.5
310,Indianapolis Colts,DST,11,DST32,,,,260,,,260.0
311,Branden Oliver,LAC,9,RB91,,,,,,262,262.0
312,Matt Jones,WAS,5,RB92,,,,,262,,262.0
313,Jared Goff,LAR,8,QB31,,,,264,261,,262.5
314,Luke Willson,SEA,6,TE33,,,,265,,,265.0
315,Charcandrick West,KC,10,RB93,,,,,265,,265.0
316,Ryan Succop,TEN,8,K28,,,,250,282,,266.0
317,Kenjon Barner,LAC,9,RB94,,,,,266,,266.0
318,Jason Myers,JAC,8,K29,,,,267,,,267.0
319,Phillip Dorsett,IND,11,WR100,,,,,269,,269.0
320,Colin Kaepernick,QB32,,,,270,,,270.0
321,Patrick Mahomes,KC,10,QB33,,,,271,,,271.0
322,Cody Kessler,CLE,9,QB34,,,,,272,,272.0
323,Travis Benjamin,LAC,9,WR101,,,,277,268,,272.5
324,Tim Tebow,QB35,,,,273,,,273.0
325,Brian Hoyer,SF,11,QB36,,,,283,286,253,274.0
326,Michael Floyd,MIN,9,WR102,,,,290,259,,274.5
327,James Starks,RB95,,,,,276,,276.0
328,Austin Seferian-Jenkins,NYJ,11,TE34,,,,,293,260,276.5
329,Dontrelle Inman,LAC,9,WR103,,,,,277,,277.0
330,Andre Ellington,ARI,8,RB96,,,,299,,256,277.5
331,Marquise Goodwin,SF,11,WR104,,,,,279,,279.0
332,Eli Rogers,PIT,9,WR105,,,,,281,,281.0
333,Glenn Gronkowski,NE,9,RB97,,,,281,,,281.0
334,Paxton Lynch,DEN,5,QB37,,,,292,273,,282.5
335,Brock Osweiler,CLE,9,QB38,,,,296,270,,283.0
336,DeShone Kizer,CLE,9,QB39,,,,284,,,284.0
337,Andrew Franks,MIA,11,K30,,,,286,,,286.0
338,Cameron Artis-Payne,CAR,11,RB98,,,,,287,,287.0
339,Shaun Draughn,NYG,8,RB99,,,,,288,,288.0
340,Vernon Davis,WAS,5,TE35,,,,287,290,,288.5
341,Jeremy Kerley,SF,11,WR106,,,,,291,,291.0
342,Jimmy Garoppolo,NE,9,QB40,,,,291,,,291.0
343,Adam Humphries,TB,11,WR107,,,,,292,,292.0
344,C.J. Spiller,KC,10,RB100,,,,293,,,293.0
345,Greg Zuerlein,LAR,8,K31,,,,282,305,,293.5
346,Virgil Green,DEN,5,TE36,,,,294,,,294.0
347,Seth Roberts,OAK,10,WR108,,,,,295,,295.0
348,Austin Carr,NE,9,WR109,,,,,297,,297.0
349,Cordarrelle Patterson,OAK,10,WR110,,,,295,301,,298.0
350,Benjamin Watson,BAL,10,TE37,,,,298,,,298.0
351,Landry Jones,PIT,9,QB41,,,,,298,,298.0
352,Alfred Blue,HOU,7,RB101,,,,,299,,299.0
353,T.J. Logan,ARI,8,RB102,,,,,300,,300.0
354,Jacob Hollister,NE,9,TE38,,,,,302,,302.0
355,George Kittle,SF,11,TE39,,,,,303,,303.0
356,Bennie Fowler,DEN,5,WR111,,,,,304,,304.0

